iteration, timestamp_s      , pid  , runtime_ns, runtime_ms, delta_ns , delta_ms, rolling_runtime_ms, switches, nice, tickets, ticket_share
        1, 1764308934.943256,  2489,     614516,      0.615,         0,    0.000,              0.000,        5, 0   ,     100,     0.001519
        1, 1764308934.943256,  2490,     574243,      0.574,         0,    0.000,              0.000,        5, 0   ,     100,     0.001519
        1, 1764308934.943256,  2491,     113573,      0.114,         0,    0.000,              0.000,        5, 0   ,     100,     0.001519
        1, 1764308934.943256,  2526,     141476,      0.141,         0,    0.000,              0.000,        4, 0   ,     100,     0.001519
        1, 1764308934.943256,  2550,     303546,      0.304,         0,    0.000,              0.000,       14, 0   ,     100,     0.001519
        1, 1764308934.943256,  2595,    4164453,      4.164,         0,    0.000,              0.000,       70, 0   ,     100,     0.001519
        1, 1764308934.943256,  2617,    1281825,      1.282,         0,    0.000,              0.000,       14, 0   ,     100,     0.001519
        1, 1764308934.943256,  2624,    1318998,      1.319,         0,    0.000,              0.000,       14, 0   ,     100,     0.001519
        1, 1764308934.943256,  2626,    1347990,      1.348,         0,    0.000,              0.000,       14, 0   ,     100,     0.001519
        1, 1764308934.943256,  2629,    1216642,      1.217,         0,    0.000,              0.000,       15, 0   ,     100,     0.001519
        1, 1764308934.943256,  2638,     137565,      0.138,         0,    0.000,              0.000,        2, 0   ,     100,     0.001519
        1, 1764308934.943256,  2647,    1247036,      1.247,         0,    0.000,              0.000,       14, 0   ,     100,     0.001519
        1, 1764308934.943256,  2653,    1947402,      1.947,         0,    0.000,              0.000,       15, 0   ,     100,     0.001519
        1, 1764308934.943256,  2658,     261532,      0.262,         0,    0.000,              0.000,        2, 0   ,     100,     0.001519
        1, 1764308934.943256,  2671,     868688,      0.869,         0,    0.000,              0.000,       38, 0   ,     100,     0.001519
        1, 1764308934.943256,  2679,    4454073,      4.454,         0,    0.000,              0.000,       31, 0   ,     100,     0.001519
        1, 1764308934.943256,  2682,    1302246,      1.302,         0,    0.000,              0.000,       14, 0   ,     100,     0.001519
        1, 1764308934.943256,  2687,  156585852,    156.586,         0,    0.000,              0.000,      258, 0   ,     100,     0.001519
        1, 1764308934.943256,  2690,  360654099,    360.654,         0,    0.000,              0.000,     1086, 0   ,     100,     0.001519
        1, 1764308934.943256,  2695,    4285123,      4.285,         0,    0.000,              0.000,       30, 0   ,     100,     0.001519
        1, 1764308934.943256,  2697,    1677256,      1.677,         0,    0.000,              0.000,       15, 0   ,     100,     0.001519
        1, 1764308934.943256,  2707,    8306595,      8.307,         0,    0.000,              0.000,       45, 0   ,     100,     0.001519
